order_id,order_date,ship_date,customer_name,category,sub_category,sales,quantity,discount,profit,region
ORD074,2019-03-16,2019-03-20,Customer_74,Technology,Phones,1150.00,1,0.05,180.00,West
ORD075,2019-03-17,2019-03-21,Customer_75,"Office Supplies",Paper,250.00,5,0.00,45.00,South
ORD076,2019-03-18,2019-03-22,Customer_76,Furniture,Tables,660.00,3,0.15,80.00,North
ORD077,2019-03-19,2019-03-23,Customer_77,Technology,Accessories,510.00,4,0.05,95.00,East
ORD078,2019-03-20,2019-03-24,Customer_78,"Office Supplies",Binders,340.00,6,0.10,50.00,West
ORD079,2019-03-21,2019-03-25,Customer_79,Furniture,Bookcases,850.00,2,0.20,105.00,South
ORD080,2019-03-22,2019-03-26,Customer_80,Technology,Laptops,1750.00,1,0.10,270.00,North
ORD081,2019-03-23,2019-03-27,Customer_81,"Office Supplies",Labels,200.00,3,0.00,35.00,East
ORD082,2019-03-24,2019-03-28,Customer_82,Furniture,Chairs,410.00,2,0.10,65.00,West
ORD083,2019-03-25,2019-03-29,Customer_83,Technology,Phones,1180.00,1,0.05,185.00,South
ORD084,2019-03-26,2019-03-30,Customer_84,"Office Supplies",Paper,265.00,5,0.00,48.00,North
ORD085,2019-03-27,2019-03-31,Customer_85,Furniture,Tables,690.00,3,0.15,85.00,East
ORD086,2019-03-28,2019-04-01,Customer_86,Technology,Accessories,540.00,4,0.05,100.00,West
ORD087,2019-03-29,2019-04-02,Customer_87,"Office Supplies",Binders,360.00,6,0.10,55.00,South
ORD088,2019-03-30,2019-04-03,Customer_88,Furniture,Bookcases,880.00,2,0.20,110.00,North
ORD089,2019-03-31,2019-04-04,Customer_89,Technology,Laptops,1800.00,1,0.15,280.00,East
ORD090,2019-04-01,2019-04-05,Customer_90,"Office Supplies",Labels,215.00,3,0.00,38.00,West
ORD091,2019-04-02,2019-04-06,Customer_91,Furniture,Chairs,430.00,2,0.10,68.00,South
ORD092,2019-04-03,2019-04-07,Customer_92,Technology,Phones,1200.00,1,0.05,190.00,North
ORD093,2019-04-04,2019-04-08,Customer_93,"Office Supplies",Paper,280.00,5,0.00,50.00,East
ORD094,2019-04-05,2019-04-09,Customer_94,Furniture,Tables,720.00,3,0.15,90.00,West
ORD095,2019-04-06,2019-04-10,Customer_95,Technology,Accessories,570.00,4,0.05,105.00,South
ORD096,2019-04-07,2019-04-11,Customer_96,"Office Supplies",Binders,380.00,6,0.10,58.00,North
ORD097,2019-04-08,2019-04-12,Customer_97,Furniture,Bookcases,910.00,2,0.20,115.00,East
ORD098,2019-04-09,2019-04-13,Customer_98,Technology,Laptops,1850.00,1,0.10,290.00,West
ORD099,2019-04-10,2019-04-14,Customer_99,"Office Supplies",Labels,230.00,3,0.00,40.00,South
ORD100,2019-04-11,2019-04-15,Customer_100,Furniture,Furnishings,320.00,2,0.05,55.00,North
